,question,distractor3,distractor1,distractor2,correct_answer,support,small
3,What is the least dangerous radioactive decay?,zeta decay,beta decay,gamma decay,alpha decay,"All radioactive decay is dangerous to living things, but alpha decay is the least dangerous.",D
11,What is controlled by both genes and experiences in a given envionment?,learned behaviors,reflexes,instincts,animal behaviors,Most animal behaviors are controlled by both genes and experiences in a given environment.,D
16,What organ systems link exchange surfaces with cells throughout the body?,nervous,vascular,pulmonary,circulatory,42.1 Circulatory systems link exchange surfaces with cells throughout the body.,D
18,"Fertilization is the union of a sperm and egg, resulting in the formation of what?",a bacteriophage,a cytoplasm,a nuclei,a zygote,"Fertilization is the union of a sperm and egg, resulting in the formation of a zygote.",D
21,What is the termination of a pregnancy in progress called?,delivery,contraception,miscarriage,abortion,,D
30,Where do angiosperms produce seeds in flowers?,testes,germs,cones,ovaries,Seed plants called angiosperms produce seeds in the ovaries of flowers.,D
33,What type of ions do ionic compounds contain?,negative and neutal,regular and irregular,positive and charged,positive and negative,An ionic compound contains positive and negative ions.,D
34,All living things need air and this to survive?,ecosystem,stimuli,habitat,water,,A
36,What type of plate boundaries produce huge mountain ranges in the ocean basin?,tractional,coherent,parallel,divergent,Divergent plate boundaries produce huge mountain ranges under water in every ocean basin.,D
43,Where does most of our food come from?,gymnosperms,microbes,lichen,angiosperms,,D
58,Increasing the temperature of n2 molecules increases what energy of motion?,emotional energy,compression energy,residual energy,kinetic energy,Increasing the temperature increases the average kinetic energy of the N2molecules.,D
64,"Fungi may form mutualistic relationships with plants, algae, cyanobacteria, and what?",eggs,plants,farmers,animals,,D
71,Dessication is an extreme and usually fatal form of what in animals?,starvation,diarrhea,depletion,dehydration,,D
79,"Most plants grow continuously, except for what periods?",winter,abnormal,mutant,dormant,,D
85,What are unsaturated hydrocarbons with at least one double bond between carbon atoms called?,peptides,amines,enzymes,alkenes,Alkenes are unsaturated hydrocarbons with at least one double bond between carbon atoms.,D
89,The activation of what kind of buds induces branching?,arterial buds,lymphatic buds,leafy buds,axillary buds,,D
90,Sexual reproduction involves haploid gametes and produces a diploid zygote through what process?,sedimentation,infection,vivisection,fertilization,Sexual reproduction involves haploid gametes and produces a diploid zygote through fertilization.,D
94,Transform faults are the site of massive what?,tornadoes,vibrations,storms,earthquakes,Transform faults are the site of massive earthquakes.,D
103,"What are the long, thin protein extensions in most prokaryotic cells called?",neutrons,analyte,cingulum,flagellum,,D
104,Dialysis is a treatment for failure of what organs?,spleen,lungs,liver,kidneys,Kidney failure may be treated with dialysis.,D
105,What preventive measure can protect even young children against diseases such as viral meningitis?,malnutrition,nutrition,surgical intervention,vaccination,Children as young as 2 years of age can be vaccinated against viral meningitis.,D
107,What does lattice energy of an ionic solid measure the strength of?,electrons,metals,atoms,bonds,Lattice energy of an ionic solid is a measure of the strength of bonds in that ionic compound.,D
108,How many different types of taste can be detected by taste buds?,hundreds,three,two,five,,B
110,Titration is a method to determine what in acids or bases?,glucose,alkalinity,maturation,concentration,The concentration of an acid or base can be determined by titration.,D
113,"In some species, what has led to the evolution of alternative male mating behavior and morphology?",sexual process,distributive selection,similar selection,sexual selection,,D
121,What does erosion do to pieces of broken rock?,Cancel Them,lead them,Smooth them,moves them,Erosion moves the pieces of broken rock.,D
125,Red litmus paper turns what color when placed in a basic solution?,pink,white,orange,blue,Red litmus paper turns blue when placed in a basic solution.,D
131,"First, high temperature denatures proteins and does what to cells?",exposes them,finds them,develops them,kills them,,D
137,What environment do animals with gills live in?,cold,air,underground,water,,D
141,The binding of what helps eliminate antigens by phagocytosis and complement-mediated lysis,fats,proteins,amino acids,antibodies,,D
142,What muscles are used to pump water over the gills?,muscles and pharynx,pharynx and tonsils,lungs and pharynx,jaws and pharynx,,A
147,What type of reproduction usually occur during times of environmental stress?,asexual reproduction,internal reproduction,hysterical reproduction,sexual reproduction,,A
149,What science includes many fields of science related to our home planet?,biology,meteorology,zoology,earth science,Earth science includes many fields of science related to our home planet.,D
152,What do ranchers fear will happen if wolves return?,vegetation predation,loss of environment,human predation,livestock predation,,D
156,What type of tumor mostly does not cause serious problems and can be completely removed by surgery?,malignant,toxic,persistent,benign,,D
160,Glaciers are incredibly powerful agents of what?,extinction,climate change,insulation,erosion,Glaciers are incredibly powerful agents of erosion.,D
168,How does water from roots reach the leaves?,water-phobic cells,water - combining cells,water - raising cells,water-conducting cells,,D
171,What makes and stores pigments that give petals and fruit their orange and yellow colors?,pores,sporozoans,protozoa,chromoplasts,Chromoplasts make and store pigments that give petals and fruit their orange and yellow colors.,D
173,"When electrons return to a lower energy level, they emit the excess energy in the form of what?",energy,weight,electricity,light,"When electrons return to a lower energy level, they emit energy in the form of light.",D
178,Cations have what type of charge?,constant,negative,neutral,positive,"Cations have positive charges, and anions have negative charges.",D
180,"Ammonia, urea, and uric acid are examples of what kind of waste?",oxygenous,carbonous,sulphurous,nitrogenous,,D
183,Comparing what sequences provides clues to evolution and development?,organisms,DNA,genes,genome,21.6 Comparing genome sequences provides clues to evolution and development.,D
188,What does the cell cycle do?,only reproduce cells,only divide cells,create new cells,divide and reproduce cells,"The cell cycle is a repeating series of events, characterizing the life of a eukaryotic cell.",D
191,"Habitat loss, introduced species, overharvesting, and global change are major threats to what?",transportation,the earth's gravity,the sun,biodiversity,,D
192,"What ""plumbing"" structures inside the veins maintain a unidirectional flow of blood despite the low blood pressure?",pumps,funnels,tubes,valves,,D
194,What is the process of the transfer of pollen from an anther to a stigma in angiosperms called?,wind,grabation,evolution,pollination,,D
195,"Despite its small size, an erythrocyte contains about 250 million molecules of what?",potassium,calcium,plasma,hemoglobin,,D
205,What two ways may light be transmitted?,absorption and refraction,magnified or scattered,reflected or refracted,refracted or scattered,Transmitted light may be refracted or scattered. When does each process occur?.,D
208,"In most animals, what sense is related to balance or equilibrium?",feeling,vision,tasting,hearing,,D
210,What forms when the spores from two parents fuse during sexual reproduction?,monospore,xerophyte,spirogyra,zygospore,Sexual reproduction occurs when spores from two parents fuse and form a zygospore.,D
215,What combines sets of genes from two different parents leading to genetically diverse offspring?,sexual destruction,subject reproduction,cellular reproduction,sexual reproduction,,D
217,What are groups of young stars loosely held together by gravity called?,closed clusters,constellations,galaxies,open clusters,Open clusters are groups of young stars loosely held together by gravity.,D
219,What is formed when an oxygen atom picks up a pair of hydrogen ions from a solution?,ammonia,liquid,turpentine,water,,A
220,What does the driving of turbines by the heating of water to steam accomplish?,absorption of electricity,depletion of electricity,diffusion of electricity,generation of electricity,Nuclear reactors heat water to steam to drive a turbine for generation of electricity.,D
223,What are the two types of vesicle transport called?,eptocytosis and exocytosis,dielectric and exocytosis,epithelium and exocytosis,endocytosis and exocytosis,,D
232,What specific part of the african violet is used to propagate other plants?,roots,petals,spores,leaves,,A
233,What are fibers that depend on aerobic respiration called?,fragile fibers,hydrogen fibers,evaporative fibers,oxidative fibers,,D
242,"A system in what state cannot spontaneously change, and therefore can do no work?",stability,equality,balance,equilibrium,,D
253,What is moving air called?,humidity,steam,clouds,wind,"Moving air, like moving water, causes erosion. Moving air is called wind.",D
254,What property makes bone marrow cells ideal for gene therapy?,Matching,behavior reproduction,irreversible reproduction,lifelong reproduction,,A
257,Diagnosing and treating cancer is a beneficial use of what potentially dangerous energy?,solar,thermal,mechanical,radiation,"Radiation has several important uses, including diagnosing and treating cancer.",D
264,What keeps the moon orbiting earth?,axial tilt,Coriolis effect,the Sun,gravity,Gravity keeps the Moon orbiting Earth. Gravity keeps the planets orbiting the Sun.,D
265,What are formed by the attraction between oppositely charged ions?,magnetic bonds,inept bonds,soluble bonds,ionic bonds,Ionic bonds are formed by the attraction between oppositely charged ions.,D
276,The mass of atoms is based on the number of protons and neutrons in what?,components,electrons,molecules,nucleus,Atoms have a mass that is based largely on the number of protons and neutrons in their nucleus.,D
286,What are generally divided into prosimian and non-prosimian?,insects,carnivores,rodents,primates,Primates are generally divided into prosimian and non-prosimian primates.,D
290,Meiosis in the sporophyte produces haploid cells called what?,seeds,fibers,ions,spores,,D
292,What are the two distinct types of cells found in the animal kingdom?,chromosomes and eukaryotes,DNA and Eukaryotes,bacteria and eukaryotes,prokaryotes and eukaryotes,,D
298,What kind of map can show the features of the bottom of a body of water?,country,topographic,basic,bathymetric,Oceanographers use bathymetric maps to show the features of the bottom of a body of water.,D
300,"When animals get rid of their gaseous waste, what is exhaled through their mouth and nose?",hydrogen,oxygen,carbon monoxide,carbon dioxide,,D
304,What do clouds trap into the atmosphere at night?,smog,seawater,light,heat,Clouds block sunlight in the day. Clouds trap heat in the atmosphere at night.,D
313,What are used to make maps of the moon and other planets?,rendering satellites,radio telescopes,topographical charts,imaging satellites,Astronomers use imaging satellites to study and make maps of the Moon and other planets.,D
