,Unnamed: 0,question,distractor3,distractor1,distractor2,correct_answer,support,baseline_answer,question_context,previous_questions_context,baseline_answer_A,question_context_A,previous_questions_context_A
3,3,What is the least dangerous radioactive decay?,zeta decay,beta decay,gamma decay,alpha decay,"All radioactive decay is dangerous to living things, but alpha decay is the least dangerous.",D,D,B,D,A,D
4,4,Kilauea in hawaii is the world’s most continuously active volcano. very active volcanoes characteristically eject red-hot rocks and lava rather than this?,magma,greenhouse gases,carbon and smog,smoke and ash,"Example 3.5 Calculating Projectile Motion: Hot Rock Projectile Kilauea in Hawaii is the world’s most continuously active volcano. Very active volcanoes characteristically eject red-hot rocks and lava rather than smoke and ash. Suppose a large rock is ejected from the volcano with a speed of 25.0 m/s and at an angle 35.0º above the horizontal, as shown in Figure 3.40. The rock strikes the side of the volcano at an altitude 20.0 m lower than its starting point. (a) Calculate the time it takes the rock to follow this path. (b) What are the magnitude and direction of the rock’s velocity at impact?.",D,D,A,D,D,D
13,13,What are used to write nuclear equations for radioactive decay?,radioactive symbols,trigonometric symbols,critical symbols,nuclear symbols,Nuclear symbols are used to write nuclear equations for radioactive decay. Let’s consider the example of the beta-minus decay of thorium-234 to protactinium-234. This reaction is represented by the equation:.,D,D,A,D,D,A
14,14,What is controlled by regulatory proteins that bind to regulatory elements on dna?,substance transcription,amino acids,mRNA,gene transcription,Gene transcription is controlled by regulatory proteins that bind to regulatory elements on DNA. The proteins usually either activate or repress transcription.,D,D,A,A,A,A
24,24,Testing what usually requires making observations or performing experiments?,homeostasis,variables,conclusion,hypothesis,"Usually, testing a hypothesis requires making observations or performing experiments. In this case, we will look into existing scientific literature to see if either of these hypotheses can be disproved, or if one or both can be supported by the data.",D,A,D,B,D,D
34,34,All living things need air and this to survive?,ecosystem,stimuli,habitat,water,,D,D,B,D,D,D
36,36,What type of plate boundaries produce huge mountain ranges in the ocean basin?,tractional,coherent,parallel,divergent,Divergent plate boundaries produce huge mountain ranges under water in every ocean basin.,D,A,D,C,A,A
38,38,"Fungus-like protist saprobes play what role in a food chain and are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes?",fluxes,aphids,Soil,decomposers,"Agents of Decomposition The fungus-like protist saprobes are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes. For instance, many types of oomycetes grow on dead animals or algae. Saprobic protists have the essential function of returning inorganic nutrients to the soil and water. This process allows for new plant growth, which in turn generates sustenance for other organisms along the food chain. Indeed, without saprobe species, such as protists, fungi, and bacteria, life would cease to exist as all organic carbon became “tied up” in dead organisms.",D,D,A,D,A,A
46,46,A diet rich in calcium and what vitamin may reduce the risk of osteoporosis and related bone fractures?,vitamin C,niacin,vitamin A,vitamin d,"Skeletal system problems include osteoporosis, bone fractures, and ligament sprains. A diet rick in calcium and vitamin D may reduce the risk of osteoporosis and related bone fractures. Following safe practices may also reduce the risk of fractures as well as sprains.",D,D,c,D,C,C
47,47,How many people die from air pollution each year?,5 million,14 million,17 million,22 million,Air pollution is harmful to human beings and other living things. About 22 million people die from air pollution each year. Breathing polluted air increases the risk of developing lung diseases such as asthma and lung cancer. Breathing bad air also increases the chances of dying from other diseases. Children are most likely to be affected by air pollution. That’s because their lungs are still developing and growing. Children also take in more air for their size than adults do. Some air pollutants damage the environment as well as the health of living things. The type of damage depends on the pollutant. Air pollution can also harm the environment.,A,D,A,C,A,A
52,52,"In the absence of air resistance, all falling objects accelerate at the same rate due to what force?",motion,velocity,weight,gravity,"What if you were to drop a bowling ball and a soccer ball at the same time from the same distance above the ground? The bowling ball has greater mass than the basketball, so the pull of gravity on it is greater. Would it fall to the ground faster? No, the bowling ball and basketball would reach the ground at the same time. The reason? The more massive bowling ball is also harder to move because of its greater mass, so it ends up moving at the same acceleration as the soccer ball. This is true of all falling objects. They all accelerate at the same rate due to gravity, unless air resistance affects one object more than another. For example, a falling leaf is slowed down by air resistance more than a falling acorn because of the leaf’s greater surface area. You can simulate the effect of air resistance on acceleration due to gravity by doing the interactive animation at this URL: http://www. science-animations. com/support-files/freefall. swf.",D,D,C,D,A,C
63,63,What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary pattern,complex progression,pattern progression,primary succession,"The pioneer species is soon replaced by other populations. Abiotic factors such as soil quality, water, and climate will determine the species that continue the process of succession. Mosses and grasses will be able to grow in the newly created soil. During early succession, plant species like grasses that grow and reproduce quickly will take over the landscape. Over time, these plants improve the soil and a few shrubs can begin to grow. Slowly, the shrubs are replaced by small trees. Small trees then are succeeded by larger trees. Since trees are more successful at competing for resources than shrubs and grasses, a forest may be the end result of primary succession.",B,D,B,C,D,D
68,68,What happens to the density of air as the altitude decreases?,increases,multiplies,remains the same,decreases,"The pressure of the earth’s atmosphere, as with any fluid, increases with the height of the column of air. In the case of earth’s atmosphere, there are some complications. The density of the air is not uniform but decreases with altitude. Additionally there is no distinct top surface from which height can be measured. We can, however, calculate the approximate difference in pressure between two altitudes using the equation . The average pressure of the atmosphere at sea level is 1.013 × 10 5 Pa. This pressure is often expressed as 101.3 kPa.",A,A,C,A,D,A
71,71,Dessication is an extreme and usually fatal form of what in animals?,starvation,diarrhea,depletion,dehydration,,A,A,D,D,B,A
73,73,The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?,formation extinction,minor extinction,moderate extinction,mass extinction,"After each mass extinction, new species evolve to fill the habitats where old species lived. This is well documented in the fossil record.",D,D,A,D,D,D
79,79,"Most plants grow continuously, except for what periods?",winter,abnormal,mutant,dormant,,D,D,A,D,D,A
86,86,What is the opposite of melting?,compression,evaporation,liquidation,freezing,"All of the changes of state that occur between solid, liquid and gas are summarized in the diagram in the figure below. Freezing is the opposite of melting and both represent the equilibrium between the solid and liquid states. Evaporation occurs when a liquid turns to a gas. Condensation is the opposite of vaporization and both represent the equilibrium between the liquid and gas states. Deposition is the opposite of sublimation and both represent the equilibrium between the solid and gas states.",D,D,C,A,D,A
87,87,"A unique characteristic of mammals is the ability to chew, this happens by the temporalis and the masseter allowing what?",Grinding,Up and down,Bakward and forward,side-to-side movement,"The adductor muscle that closes the jaw is composed of two muscles in mammals: the temporalis and the masseter. These allow side-to-side movement of the jaw, making chewing possible, which is unique to mammals. Most mammals have heterodont teeth, meaning that they have different types and shapes of teeth rather than just one type and shape of tooth. Most mammals are diphyodonts, meaning that they have two sets of teeth in their lifetime: deciduous or “baby” teeth, and permanent teeth. Other vertebrates are polyphyodonts, that is, their teeth are replaced throughout their entire life. Mammals, like birds, possess a four-chambered heart. Mammals also have a specialized group of cardiac fibers located in the walls of their right atrium called the sinoatrial node, or pacemaker, which determines the rate at which the heart beats. Mammalian erythrocytes (red blood cells) do not have nuclei, whereas the erythrocytes of other vertebrates are nucleated. The kidneys of mammals have a portion of the nephron called the loop of Henle or nephritic loop, which allows mammals to produce urine with a high concentration of solutes, higher than that of the blood. Mammals lack a renal portal system, which is a system of veins that moves blood from the hind or lower limbs and region of the tail to the kidneys. Renal portal systems are present in all other vertebrates except jawless fishes. A urinary bladder is present in all mammals. Mammalian brains have certain characteristics that differ from other vertebrates. In some, but not all mammals, the cerebral cortex, the outermost part of the cerebrum, is highly folded, allowing for a greater surface area than is possible with a smooth cortex. The optic lobes, located in the midbrain, are divided into two parts in mammals, whereas other vertebrates.",D,D,C,C,C,C
92,92,What percentage of men suffer from some form of erectile dysfunction by age 40?,approximately 80 percent,approximately 60 percent,approximately 10 percent,approximately 40 percent,"Male Reproductive System Erectile dysfunction (ED) is a condition in which a man has difficulty either initiating or maintaining an erection. The combined prevalence of minimal, moderate, and complete ED is approximately 40 percent in men at age 40, and reaches nearly 70 percent by 70 years of age. In addition to aging, ED is associated with diabetes, vascular disease, psychiatric disorders, prostate disorders, the use of some drugs such as certain antidepressants, and problems with the testes resulting in low testosterone concentrations. These physical and emotional conditions can lead to interruptions in the vasodilation pathway and result in an inability to achieve an erection. Recall that the release of NO induces relaxation of the smooth muscles that surround the penile arteries, leading to the vasodilation necessary to achieve an erection. To reverse the process of vasodilation, an enzyme called phosphodiesterase (PDE) degrades a key component of the NO signaling pathway called cGMP. There are several different forms of this enzyme, and PDE type 5 is the type of PDE found in the tissues of the penis. Scientists discovered that inhibiting PDE5 increases blood flow, and allows vasodilation of the penis to occur. PDEs and the vasodilation signaling pathway are found in the vasculature in other parts of the body. In the 1990s, clinical trials of a PDE5 inhibitor called sildenafil were initiated to treat hypertension and angina pectoris (chest pain caused by poor blood flow through the heart). The trial showed that the drug was not effective at treating heart conditions, but many men experienced erection and priapism (erection lasting longer than 4 hours). Because of this, a clinical trial was started to investigate the ability of sildenafil to promote erections in men suffering from ED. In 1998, the FDA approved the drug, marketed as Viagra®. Since approval of the drug, sildenafil and similar PDE inhibitors now generate over a billion dollars a year in sales, and are reported to be effective in treating approximately 70 to 85 percent of cases of ED. Importantly, men with health problems—especially those with cardiac disease taking nitrates—should avoid Viagra or talk to their physician to find out if they are a candidate for the use of this drug, as deaths have been reported for at-risk users.",C,D,C,A,A,A
101,101,What protects a developing flower while it is still a bud?,lobes,shell,petals,sepals,"Sepals protect the developing flower while it is still a bud. Sepals are usually green, which camouflages the bud from possible consumers.",A,D,B,D,A,A
111,111,How many different amino acids make up proteins.,30,14,25,20,"There are 20 amino acids that make up proteins. With three bases per codon, there are 64 possible codons. This is more than enough to code for the 20 amino acids plus start and stop signals. You can see how to translate the genetic code in Figure below . Start at the center of the chart for the first base of each three-base codon. Then work your way out from the center for the second and third bases.",A,D,A,D,A,C
123,123,In a glass of sweet tea the sugar is known as the solute and the water is known as what?,calcium,pigment,solid,solvent,"If you’re like Tanya in this picture, you prefer your iced tea sweetened with sugar. Sweetened iced tea is a solution in which solid sugar (the solute) is dissolved in cold liquid tea, which is mostly water (the solvent). When you add sugar to tea, particles of water pull apart particles of sugar. The particles of sugar spread throughout the tea, making all of it taste sweet.",D,D,B,B,D,B
138,138,What is the boiling and freezing point of water in celcius?,212 degrees c and 32 degrees c,100 degrees c and 32 degrees c,212 degrees c and 0 degrees c,100 degrees c and 0 degrees c,"Melting and boiling points are somewhat unique identifiers, especially of compounds. In addition to giving some idea as to the identity of the compound, important information can be obtained about the purity of the material.",C,D,A,A,C,C
147,147,What type of reproduction usually occur during times of environmental stress?,asexual reproduction,internal reproduction,hysterical reproduction,sexual reproduction,,D,D,C,D,D,D
148,148,"All forms of energy can be interconverted. three things can change the energy of an object: the transfer of heat, work performed on or by an object, or some combination of what?",cold and energy,temperature and work,humidity and work,heat and work,"All forms of energy can be interconverted. Three things can change the energy of an object: the transfer of heat, work performed on or by an object, or some combination of heat and work.",D,D,C,D,D,D
152,152,What do ranchers fear will happen if wolves return?,vegetation predation,loss of environment,human predation,livestock predation,,B,D,B,B,B,D
153,153,How many types of surface waves are there?,six,over a hundred,three,two,"Surface waves travel along the ground outward from an earthquake’s epicenter. Surface waves are the slowest of all seismic waves. They travel at 2.5 km (1.5 miles) per second. There are two types of surface waves. Love waves move side-to-side, much like a snake. Rayleigh waves produce a rolling motion as they move up and backward ( Figure above ). Surface waves cause objects to fall and rise. They also cause objects to sway back and forth. These motions cause damage to rigid structures during an earthquake.",D,D,B,D,D,D
156,156,What type of tumor mostly does not cause serious problems and can be completely removed by surgery?,malignant,toxic,persistent,benign,,A,D,C,B,C,D
157,157,What supports and protects the soft organs of the body?,Muscle,Skin,skull,skeleton,"Protection. The skeleton supports and protects the soft organs of the body. For example, the skull surrounds the brain to protect it from injury. The bones of the rib cage help protect the heart and lungs.",D,D,A,D,D,D
160,160,Glaciers are incredibly powerful agents of what?,extinction,climate change,insulation,erosion,Glaciers are incredibly powerful agents of erosion.,C,D,C,D,D,A
178,178,Cations have what type of charge?,constant,negative,neutral,positive,"Cations have positive charges, and anions have negative charges.",A,A,C,D,D,D
181,181,What are variants of genes called?,allergens,antigens,mutations,alleles,"Recall that our DNA is wound into chromosomes . Each of our chromosomes contains a long chain of DNA that encodes hundreds, if not thousands, of genes. Each of these genes can have slightly different versions from individual to individual. These variants of genes are called alleles . Each parent only donates one allele for each gene to an offspring.",D,D,B,D,A,A
183,183,Comparing what sequences provides clues to evolution and development?,organisms,DNA,genes,genome,21.6 Comparing genome sequences provides clues to evolution and development.,A,A,D,D,A,A
188,188,What does the cell cycle do?,only reproduce cells,only divide cells,create new cells,divide and reproduce cells,"The cell cycle is a repeating series of events, characterizing the life of a eukaryotic cell.",A,A,D,B,A,A
192,192,"What ""plumbing"" structures inside the veins maintain a unidirectional flow of blood despite the low blood pressure?",pumps,funnels,tubes,valves,,D,D,A,D,D,D
196,196,How many variables are used to describe the condition of a gas?,three,five,one,four,"Recall from the kinetic-molecular theory that gas particles move randomly and in straight lines until they elastically collide with either other gas particles or with one of the walls of the container. It is these collisions with the walls of the container that defines the pressure of the gas. Four variables are used to describe the condition of a gas. They are pressure , volume , temperature , and the amount of the gas as measured by the number moles . We will examine separately how the volume, temperature, and amount of gas each affect the pressure of an enclosed gas sample.",B,D,C,C,C,D
197,197,What is a suggested explanation for a phenomenon or a suggested explanation for a relationship between many phenomena called?,process,query,system,hypothesis,"In order to explain the observed phenomenon, scientists develop a number of possible explanations, or hypotheses. A hypothesis is a suggested explanation for a phenomenon or a suggested explanation for a relationship between many phenomena. Hypotheses are always based on evidence that can be tested by observation or experimentation. Scientific investigations are required to test hypotheses. Scientists mostly base hypotheses on prior observations or on extensions of existing scientific explanations.",B,D,A,A,A,A
213,213,"In a monogamous pairing, a male individual is generally paired with what other type of individual in a sexual relationship?",drone,worker,male,female,"Visit this website (http://openstaxcollege. org/l/sex_selection) for informative videos on sexual selection. In monogamous systems, one male and one female are paired for at least one breeding season. In some animals, such as the gray wolf, these associations can last much longer, even a lifetime. Several explanations have been proposed for this type of.",B,D,B,D,D,D
